Local Date,Local Time,Close,Low,High,Volume
01-Apr-2022,14:31:00,174.4300,173.2101,174.4300,"1,684,574"
01-Apr-2022,14:32:00,174.7281,173.9690,174.8200,"520,957"
01-Apr-2022,14:33:00,174.7650,174.3800,174.8350,"356,358"
01-Apr-2022,14:34:00,174.4600,174.3600,174.8800,"366,536"
01-Apr-2022,14:35:00,174.1500,174.0500,174.6303,"303,070"
01-Apr-2022,14:36:00,174.0092,173.6800,174.4139,"408,285"
01-Apr-2022,14:37:00,173.8750,173.7400,174.8000,"291,007"
01-Apr-2022,14:38:00,174.1800,173.8100,174.2157,"327,478"
01-Apr-2022,14:39:00,173.9350,173.8800,174.1900,"287,041"
01-Apr-2022,14:40:00,173.6700,173.6700,174.0300,"298,943"
01-Apr-2022,14:41:00,173.7581,173.5800,173.8600,"349,714"
01-Apr-2022,14:42:00,173.9350,173.7000,174.0000,"281,954"
01-Apr-2022,14:43:00,174.0740,173.8600,174.1000,"248,316"
01-Apr-2022,14:44:00,173.9000,173.8700,174.1700,"269,996"
01-Apr-2022,14:45:00,173.9900,173.8000,174.0599,"276,516"
01-Apr-2022,14:46:00,173.9501,173.7800,174.0900,"291,329"
01-Apr-2022,14:47:00,173.7500,173.7300,173.9500,"288,021"
01-Apr-2022,14:48:00,173.8200,173.7000,173.8600,"248,444"
01-Apr-2022,14:49:00,173.7431,173.7000,174.0000,"275,852"
01-Apr-2022,14:50:00,173.7400,173.6700,173.8466,"229,668"
01-Apr-2022,14:51:00,173.6000,173.5927,173.8750,"273,134"
01-Apr-2022,14:52:00,173.2377,173.1700,173.7176,"443,337"
01-Apr-2022,14:53:00,173.1490,173.0900,173.3650,"392,660"
01-Apr-2022,14:54:00,172.9400,172.8600,173.1500,"617,941"
01-Apr-2022,14:55:00,173.0400,172.9300,173.2000,"287,443"
01-Apr-2022,14:56:00,172.9406,172.9000,173.2375,"268,075"
01-Apr-2022,14:57:00,172.8200,172.8000,173.0662,"329,228"
